Identificatiodepth   NO3     NO2     NH4     Si      PO4
559/1_3           200    30.9    0.07    0.05    30.9    2.07
559/1_1           500    36.9    0.00    0.00    68.4    2.51
560/1_11           20    23.3    0.18    0.29     9.4    1.51
560/1_11           20    23.2    0.19    0.28     9.3    1.50
560/1_9           110    24.4    0.20    1.35    16.8    1.73
560/1_7           110    25.0    0.20    1.37    17.8    1.76
560/1_5           150    28.8    0.18    0.84    26.8    1.97
560/1_4           200    31.1    0.07    0.08    30.9    2.06
561/1_12           20    24.0    0.20    0.42    10.6    1.61
561/1_12           20    23.9    0.20    0.42    10.6    1.59
561/1_10          100    24.5    0.20    0.91    13.2    1.65
561/1_8           120    26.0    0.22    1.33    19.3    1.83
561/1_6           150    28.9    0.17    0.77    26.4    1.97
561/1_3           200    32.3    0.02    0.02    34.2    2.12
561/1_1           250    37.7    0.01    0.02    68.6    2.50
562/2_13           20    24.3    0.20    0.55    12.6    1.63
562/2_13           20    23.9    0.20    0.54    12.6    1.62
562/2_9           100    24.1    0.20    0.91    14.5    1.67
562/2_7           120    25.7    0.22    1.38    21.2    1.82
562/2_5           150    28.0    0.19    0.87    26.7    1.96
562/2_03          200    31.6    0.08    0.06    31.1    2.10
563/1_12           20    24.2    0.20    0.46    11.4    1.63
563/1_09          100    24.7    0.21    0.73    12.8    1.67
563/1_07          120    25.0    0.21    1.02    14.7    1.72
563/1_05          150    28.2    0.23    1.10    24.7    1.96
654/1_14           20    24.1    0.21    0.66     8.5    1.70
564/1_14           20    24.1    0.20    0.67     8.5    1.70
564/1_09          100    24.3    0.21    0.87     9.4    1.66
564/1_07          120    25.1    0.21    1.15    13.3    1.74
564/1_05          150    26.7    0.21    1.16    19.4    1.87
564/1_03          200    31.8    0.04    0.04    31.9    2.10
565/1_11           20            0.20    0.49    11.2    1.61
565/1_9           100            0.16    0.82    12.5    1.66
565/1_7           120            0.20    0.83    12.7    1.66
565/1_5           150            0.24    1.41    22.4    1.87
565/1_3           200            0.08    0.11    31.7    2.09
570/2_24            5    23.2    0.19    0.31     8.0    1.53
570/2_23           20    23.2    0.19    0.28     7.9    1.52
570/2_22           50    23.3    0.19    0.44     8.7    1.54
570/2_21           75    23.5    0.19    0.66     9.9    1.51
570/2_20          100    24.2    0.20    1.06    12.9    1.62
570/2_18          150    27.7    0.23    1.17    24.3    1.90
570/2_17          200    31.5    0.06    0.03    31.0    2.07
570/2_16          250    33.4    0.02    0.05    37.8    2.21
570/2_15          300    34.8    0.01    0.15    45.2    2.32
570/2_14          400    37.5    0.01    0.11    61.1    2.50
570/2_13          500    37.8    0.01    0.11    69.2    2.53
570/2_12          750    36.7    0.01    0.11    78.3    2.46
570/2_10         1000    34.7    0.00    0.12    79.6    2.33
570/2_9          1500    31.6    0.00    0.11    77.6    2.11
570/2_8          1750    32.0    0.00    0.11    84.1    2.14
570/2_6          2000    32.7    0.00    0.12    91.4    2.18
570/2_5          2500    33.8    0.00    0.12   103.7    2.26
570/2_3          3000    34.8    0.00    0.11   116.0    2.34
570/2_2          3000    35.1    0.00    0.11   120.6    2.37
570/2_1          3500    35.1    0.00    0.13   121.5    2.38
570/4_24           10    23.2    0.19    0.40     7.9    1.51
570/4_22           20    23.2    0.19    0.37     7.9    1.51
570/4_21           20    23.2    0.19    0.36     7.9    1.51
570/4_20           30    23.2    0.20    0.41     7.9    1.50
570/4_17           40    23.2    0.20    0.46     8.1    1.51
570/4_15           60    23.3    0.20    0.68     9.0    1.53
570/4_13           80    23.6    0.20    0.88    10.4    1.61
570/sNATCHER       80    23.4    0.20    0.50     8.8    1.58
570/1_11           90    23.7    0.20    1.08    11.1    1.64
570/4_10           90    23.8    0.20    1.03    11.1    1.63
570/4_9           100    24.2    0.20    1.19    13.0    1.70
570/4_7           120    26.0    0.22    1.48    19.6    1.86
570/4_5           150    29.0    0.19    0.92    26.9    2.03
570/4_3           200    32.0    0.02    0.15    32.9    2.15
570/4_1           250    33.1    0.01    0.14    37.8    2.22
570/7_24           10    23.2    0.19    0.24     8.0    1.48
570/7_15           20    23.2    0.19    0.28     8.0    1.48
570/7_13           30    23.2    0.19    0.24     8.1    1.48
570/7_11           40    23.2    0.19    0.28     8.2    1.47
570/7_9            60    23.4    0.20    0.53     9.1    1.51
570/7_7            80    23.6    0.20    0.68    10.1    1.55
570/7_5            90    23.6    0.20    0.72    10.3    1.55
570/7_4           100    23.6    0.19    0.79    10.8    1.57
570/7_3           120    24.9    0.21    1.08    16.5    1.71
570/7_2           150    26.0    0.22    1.21    20.3    1.80
570/7_1           200    30.5    0.10    0.33    30.0    2.03
570/11_24          10    23.4    0.19    0.31     8.3    1.53
570/11_23          30    23.3    0.19    0.31     8.4    1.52
570/11_20          60    23.4    0.19    0.40     8.9    1.55
570/Snatcher       80    23.4    0.20    0.36     9.0    1.59
570/11_18          90    24.2    0.20    0.71    11.6    1.65
570/11_15         120    24.7    0.20    1.00    14.1    1.71
570/11_12         150    27.2    0.24    1.30    23.2    1.95
570/11_09         200    31.1    0.09    0.19    29.7    2.10
570/11_08         250    32.8    0.02    0.03    34.9    2.21
570/11_07         300    34.7    0.02    0.04    43.1    2.35
570/11_06         350    36.3    0.01    0.02    51.7    2.47
570/11_05         400    37.5    0.01    0.03    59.4    2.55
570/11_04         500    37.9    0.01    0.03    68.1    2.61
570/11_03         600    37.5    0.01    0.03    72.3    2.54
570/11_02         800    36.3    0.01    0.03    77.7    2.47
570/11_01        1000    34.7    0.00    0.03    77.6    2.36
570/15_24         100    25.0    0.21    1.16    15.1    1.76
570/15_23         120    26.2    0.22    1.41    20.1    1.87
570/15_21         150    28.9    0.19    0.89    26.6    2.02
570/15_17         200    31.5    0.08    0.08    31.3    2.12
570/15_14         250    33.2    0.02    0.04    37.5    2.23
570/15_10         350    36.6    0.02    0.04    56.0    2.48
570/15_6          450    37.9    0.01    0.03    67.7    2.57
570/15_2          550    37.9    0.01    0.03    73.8    2.56
570/15_1          750    37.0    0.01    0.03    80.3    2.51
571/1_15           10    23.3    0.20    0.25     8.0    1.52
571/1_15           10    23.3    0.20    0.24     8.0    1.51
571/1_14           20    23.3    0.20    0.29     8.0    1.51
571/1_13           30    23.3    0.20    0.29     7.9    1.50
571/1_11           40    23.5    0.19    0.30     8.0    1.51
571/1_10           60    23.6    0.19    0.44     8.6    1.52
571/1_9            80    23.9    0.20    0.78    10.9    1.60
571/1_8           100    24.0    0.20    0.82    11.0    1.61
571/1_7           140    26.0    0.21    1.44    19.5    1.83
571/1_6           150    27.2    0.23    1.32    22.7    1.89
571/1_5           200    31.4    0.07    0.11    31.0    2.08
571/1_4           250    33.6    0.01    0.05    38.7    2.21
573/1_14           10    23.7    0.19    0.34     8.5    1.58
573/1_13           20    23.7    0.19    0.44     8.6    1.58
573/1_12           30    23.8    0.19    0.36     8.9    1.58
573/1_11           40    23.8    0.19    0.37     9.0    1.54
573/1_10           60    23.8    0.19    0.43     9.3    1.54
573/1_9            80    23.8    0.19    0.57    10.1    1.53
573/1_8           100    24.4    0.19    0.96    13.4    1.61
573/1_7           140    26.3    0.22    1.37    21.5    1.79
573/1_6           150    27.2    0.23    1.27    24.5    1.85
573/1_5           200    31.3    0.08    0.11    32.9    2.02
573/1_4           250    33.7    0.01    0.06    42.2    2.16
574/1_21           10    23.8    0.19    0.39     7.8    1.52
574/1_21           10    23.8    0.19    0.39     7.8    1.51
574/1_20           20    23.8    0.19    0.36     7.8    1.53
574/1_18           30    23.8    0.19    0.37     9.7    1.51
574/1_17           40    23.8    0.19    0.39    10.0    1.52
574/1_16           60    24.0    0.19    0.57    10.6    1.53
574/1_15           80    24.1    0.19    0.65    11.4    1.56
574/1_14          100    24.3    0.19    0.93    11.4    1.59
574/1_13          140    27.1    0.22    1.24    22.3    1.81
574/1_12          150    27.5    0.22    1.16    23.4    1.85
574/1_11          200    31.5    0.07    0.07    31.6    2.01
574/1_9           250    33.3    0.01    0.06    38.3    2.13
580/2_24           10    23.2    0.20    0.35     7.3    1.52
580/2_22           20    23.2    0.19    0.35     7.4    1.51
580/2_21           20    23.2    0.19    0.36     7.4    1.51
580/2_20           30    23.2    0.19    0.36     7.4    1.51
580/2_17           40    23.2    0.19    0.35     7.4    1.49
580/2_15           60    23.2    0.19    0.39     7.6    1.50
580/2_13           80    23.5    0.19    0.86    10.1    1.58
580/2_11           90    23.6    0.19    0.89    10.5    1.59
580/2_10           90    23.6    0.19    0.88    10.6    1.59
580/2_9           100    23.7    0.19    0.93    11.0    1.59
580/2_7           120    24.9    0.21    1.35    16.7    1.75
580/2_5           150    26.3    0.23    1.48    22.1    1.86
580/2_3           200    30.7    0.10    0.28    30.8    2.05
580/2_1           250    32.5    0.02    0.05    36.0    2.16
580/6_24           10    23.1    0.19    0.54     7.3    1.57
580/6_17           20    23.1    0.19    0.43     7.2    1.57
580/6_15           30    23.1    0.19    0.39     7.2    1.58
580/6_13           40    23.1    0.19    0.38     7.3    1.56
580/6_11           60    23.1    0.19    0.47     7.5    1.58
580/snatcher       80    23.3    0.20    0.64     8.6    1.63
580/6_9            80    23.3    0.20    0.70     8.7    1.63
580/6_7            90    23.6    0.20    0.98    10.6    1.72
580/6_6           100    24.5    0.21    1.46    14.7    1.84
580/6_5           120    23.9    0.20    1.12    12.0    1.73
580/6_4           150    27.9    0.24    1.22    25.1    2.02
580/6_3           200    30.8    0.09    0.28    29.7    2.13
580/10_9          250    32.4    0.01    0.08    34.0    2.21
580/10_6          300    33.8    0.01    0.06    39.8    2.31
580/10_24          10    23.2    0.19    0.48     7.7    1.54
580/10_22          30    23.1    0.19    0.48     7.7    1.54
580/10_21          60    23.2    0.19    0.52     7.9    1.55
580/snatcher       80    23.3    0.20    0.59     8.5    1.59
580/10_17          90    23.6    0.19    0.87    10.2    1.62
580/10_16         120    25.1    0.21    1.33    16.6    1.80
580/10_13         150    27.2    0.24    1.26    22.8    1.94
580/10_10         200    30.5    0.10    0.30    29.0    2.09
580/10_5          350    35.5    0.01    0.06    48.1    2.42
580/10_4          400    37.2    0.01    0.05    58.2    2.54
580/10_3          500    37.6    0.01    0.05    62.7    2.59
580/10_2          600    37.5    0.00    0.06    72.4    2.59
580/10_1          800    36.3    0.00    0.08    76.6    2.50
580/14_17         100    23.2    0.19    0.62     8.5    1.56
580/14_18         120    23.7    0.19    0.85    10.2    1.62
580/14_19         150    24.6    0.20    1.29    14.5    1.74
580/14_20         200    28.1    0.22    1.15    25.6    1.99
580/14_21         250    32.1    0.02    0.08    33.2    2.14
580/14_22         300    34.4    0.01    0.07    42.7    2.30
580/14_23         400    37.1    0.01    0.08    57.6    2.49
580/14_24         500    37.7    0.00    0.08    67.1    2.54
580/18_24          20    23.0    0.19    0.53     7.9    1.60
580/18_23          80    23.5    0.19    0.78     9.6    1.67
580/18_22         100    24.3    0.20    1.17    13.4    1.75
580/18_20         200    30.4    0.10    0.34    29.2    2.13
580/18_18         250    32.2    0.02    0.09    33.8    2.22
580/18_17         300    34.2    0.02    0.09    42.4    2.36
580/18_16         400    36.6    0.01    0.09    56.1    2.53
580/18_14         500    37.4    0.01    0.09    66.2    2.58
580/18_12         750    36.5    0.00    0.09    76.5    2.52
580/18_10        1000    34.8    0.00    0.09    78.9    2.42
580/18_08        1500    31.9    0.00    0.09    78.6    2.20
580/18_05        2000    32.6    0.00    0.11    92.3    2.24
580/18_03        3000    34.3    0.00    0.10   112.9    2.37
580/18_01        3900    34.8    0.00    0.11   120.1    2.39
581/1_24           10    23.9    0.19    0.55     9.4    1.66
581/1_23           20    23.9    0.19    0.54     9.4    1.66
581/1_22           30    24.0    0.19    0.54     9.4    1.67
581/1_21           50    23.9    0.19    0.54     9.3    1.65
581/1_20           80    23.9    0.20    0.57     9.4    1.65
581/1_18          100    23.8    0.20    0.82    10.5    1.67
581/1_17          140    24.7    0.21    1.41    15.7    1.81
581/1_16          200    29.8    0.14    0.61    28.1    2.08
581/1_15          250    32.1    0.02    0.12    33.2    2.20
581/1_13          300    33.8    0.01    0.14    40.3    2.31
581/1_11          400    37.1    0.01    0.13    59.4    2.54
583/1_24           10    23.6    0.19    0.51     8.2    1.61
583/1_23           20    23.5    0.19    0.49     8.1    1.59
583/1_22           30    23.5    0.19    0.50     8.1    1.59
583/1_21           50    23.6    0.19    0.50     8.2    1.58
583/1_20           80    23.6    0.19    0.58     8.9    1.59
583/1_18          100    24.3    0.20    0.92    11.6    1.68
583/1_17          140    27.1    0.24    1.44    22.6    1.94
583/1_16          200    31.5    0.06    0.13    30.8    2.14
583/1_15          250    32.8    0.02    0.13    35.2    2.20
583/1_14          300    34.9    0.02    0.25    45.1    2.36
583/1_13          400    37.5    0.02    0.13    61.3    2.53
584/1_24           10    24.3    0.20    0.79     9.5    1.72
584/1_23           20    24.2    0.20    0.77     9.4    1.72
584/1_22           30    24.2    0.20    0.78     9.5    1.72
584/1_21           50    24.2    0.20    0.78     9.5    1.72
584/1_20           80    24.2    0.20    0.76     9.5    1.72
584/1_18          100    24.3    0.20    0.87    10.3    1.74
584/1_17          140    27.3    0.23    1.35    22.5    2.04
584/1_16          200    32.0    0.02    0.12    32.6    2.30
584/1_15          250    33.3    0.01    0.12    38.6    2.42
584/1_24          300    35.0    0.01    0.12    46.9    2.62
584/1_24           10    24.2    0.20    0.79     9.5    1.78
585/1_24           10    24.4    0.20    0.60     9.3    1.69
585/1_23           20    24.3    0.20    0.59     9.3    1.68
585/1_22           30    24.4    0.20    0.60     9.5    1.68
585/1_21           50    24.4    0.20    0.60     9.5    1.67
585/1_20           80    24.3    0.20    0.63     9.6    1.67
585/1_18          100    24.6    0.20    0.88    11.0    1.70
585/1_17          140    26.5    0.22    1.42    19.7    1.87
585/1_16          200    32.0    0.08    0.15    30.9    2.13
585/1_15          250    33.7    0.01    0.06    37.1    2.25
585/1_14          300    35.6    0.02    0.06    45.8    2.38
585/1_13          400    38.2    0.01    0.06    62.2    2.56
586/3_24           10    23.4    0.19    0.40     7.5    1.59
586/3_22           60    23.6    0.19    0.46     7.7    1.62
586/3_20          100    23.7    0.19    0.59     8.6    1.63
586/3_16          120    23.9    0.19    0.64     8.7    1.65
586/3_13          150    26.6    0.23    1.50    20.7    1.93
586/3_10          200    31.3    0.10    0.26    30.0    2.16
586/3_07          250    33.4    0.01    0.04    35.8    2.27
586/3_05          500    38.4    0.00    0.03    70.7    2.64
586/3_04          750    37.2    0.00    0.03    80.2    2.57
586/3_03         1000    35.2    0.00    0.03    82.2    2.44
586/3_02         1250    33.6    0.00    0.03    82.2    2.34
586/3_01         1500    32.9    0.00    0.02    84.2    2.29
587/1_24           10    24.4    0.22    0.65     9.8    1.04
587/1_22           20    24.5    0.22    0.63     9.8    1.05
587/1_21           20    24.5    0.22    0.61     9.8    1.05
587/1_20           30    24.5    0.22    0.65     9.6    1.05
587/1_17           40    24.5    0.22    0.70     9.6    1.06
587/1_15           60    24.7    0.22    0.74     9.7    1.06
587/1_13           80    24.5    0.20    0.72     9.9    1.71
587/1_11          100    24.8    0.20    1.04    11.9    1.78
587/1_10          100    24.7    0.20    1.06    12.0    1.78
587/1_09          110    25.9    0.22    1.33    17.8    1.91
587/1_07          120    26.2    0.22    1.33    18.7    1.92
587/1_05          150    27.5    0.22    1.15    22.8    2.01
587/1_03          200    30.5    0.10    0.28    29.5    2.14
587/1_01          250    32.4    0.02    0.07    35.4    2.25
587/3_23           10    24.5    0.20    0.65    10.0    1.69
587/3_15           20    24.5    0.20    0.65    10.0    1.70
587/3_13           30    24.5    0.20    0.65    10.0    1.70
587/3_11           40    24.5    0.20    0.65    10.0    1.70
587/3_9            60    24.4    0.20    0.67     9.9    1.70
587/3_6            80    24.5    0.20    0.68     9.8    1.71
587/3_5           100    24.4    0.20    0.72     9.8    1.70
587/3_4           110    24.5    0.20    0.75     9.9    1.71
587/3_3           120    24.7    0.20    0.95    11.2    1.76
587/3_2           150    27.0    0.22    1.24    21.0    1.96
587/3_1           200    30.1    0.12    0.42    28.4    2.11
587/10_24          10    24.4    0.20    0.66     9.8    1.73
587/10_23          40    24.3    0.20    0.66     9.7    1.74
587/10_20          60    24.3    0.20    0.67     9.8    1.74
587/10_18          80    24.5    0.20    0.78    10.7    1.76
587/snatcher       80    24.7    0.20    0.91    11.5    1.79
587/10_16         120    25.3    0.21    1.23    15.3    1.88
587/10_14         150    29.1    0.19    0.85    26.3    2.12
587/10_12         200    32.2    0.03    0.07    32.9    2.26
587/10_11         250    34.0    0.02    0.07    40.5    2.48
587/10_9          300    35.3    0.02    0.06    46.8    2.56
587/10_8          350    36.8    0.02    0.09    55.3    2.62
587/10_6          400    37.4    0.01    0.08    62.0    2.68
587/10_4          500    38.0    0.00    0.07    70.4    2.72
587/10_3          600    37.5    0.00    0.06    76.0    2.68
587/10_2          750    36.4    0.00    0.07    78.8    2.61
587/10_1         1000    35.1    0.00    0.07    81.3    2.53
587/15_24         100    24.7    0.20    0.90    11.0    1.76
587/15_22         120    25.1    0.20    1.12    13.6    1.81
587/15_20         150    27.8    0.22    1.16    22.9    2.01
587/15_16         200    31.5    0.08    0.11    30.5    2.17
587/15_14         250    32.7    0.02    0.08    34.0    2.23
587/15_09         300    34.4    0.02    0.08    42.1    2.37
587/15_05         400    37.3    0.01    0.08    58.4    2.56
587/15_01         500    38.0    0.01    0.08    68.1    2.62
587/16_24           5    24.5    0.20    0.76     9.3    1.74
587/16_23          20    24.6    0.20    0.75     9.2    1.74
587/16_22          50    24.6    0.20    0.75     9.2    1.73
587/16_21         100    25.0    0.20    1.10    12.6    1.81
587/16_20         150    27.3    0.23    1.33    21.8    2.01
587/16_18         200    31.8    0.06    0.13    30.5    2.21
587/16_17         400    37.6    0.01    0.11    56.6    2.62
587/16_15         500    38.4    0.01    0.11    65.9    2.66
587/16_13        1000    36.1    0.00    0.10    78.1    2.48
587/16_12        1500    32.9    0.00    0.10    79.1    2.29
587/16_10        2000    33.5    0.00    0.11    88.5    2.31
587/16_9         2500    34.5    0.00    0.09    98.9    2.38
587/16_6         3000    35.3    0.00    0.09   116.9    2.44
587/16_3         3500    35.7    0.00    0.09   121.7    2.47
587/16_1         3900    35.8    0.00    0.09   122.6    2.47
588/1_14           10    24.0    0.22    0.86     7.1    1.72
588/1_12           20    24.1    0.22    0.86     7.1    1.72
588/1_11           40    24.2    0.22    0.86     6.9    1.72
588/1_10           60    24.6    0.21    0.91     7.6    1.75
588/1_9            80    25.2    0.21    1.18    10.9    1.79
588/1_8           100    25.9    0.22    1.24    14.6    1.90
588/1_7           120    27.5    0.20    0.94    18.3    1.99
588/1_6           150    30.1    0.11    0.30    24.4    2.12
588/1_5           200    32.0    0.02    0.12    31.5    2.25
588/1_4           250    33.3    0.02    0.12    35.3    2.33
588/1_3           300    35.6    0.01    0.16    43.0    2.47
588/1_2           350    36.4    0.01    0.12    46.9    2.51
588/1_1           400    37.1    0.01    0.12    52.1    2.57
589/1_12           20    22.3    0.23    0.85     4.5    1.60
589/1_11           40    22.6    0.22    0.87     4.9    1.62
589/1_10           60    23.0    0.21    0.93     5.7    1.63
589/1_9            80    23.8    0.21    1.16     7.4    1.71
589/1_8           100    24.4    0.21    1.17     8.7    1.77
589/1_7           120    27.0    0.13    0.42    14.4    1.90
589/1_6           150    29.8    0.01    0.17    22.2    2.06
589/1_5           200    31.5    0.01    0.16    27.1    2.18
589/1_4           250    32.8    0.00    0.17    31.3    2.26
589/1_3           300    34.1    0.00    0.18    37.0    2.35
589/1_2           350    34.9    0.00    0.18    41.2    2.41
589/1_1           400    35.5    0.00    0.17    44.6    2.44
591/1_24           10    23.7    0.19    0.54     7.7    1.64
591/1_22           20    23.6    0.19    0.56     7.7    1.62
591/1_21           20    24.0    0.19    0.54     7.7    1.61
591/1_20           30    24.0    0.19    0.54     7.7    1.61
591/1_17           40    24.1    0.19    0.54     7.7    1.62
591/1_15           60    24.2    0.19    0.56     7.8    1.62
591/1_11          100    25.3    0.20    1.26    13.8    1.79
591/1_10          100    25.5    0.20    1.31    14.4    1.79
591/1_9           110    26.2    0.21    1.41    16.9    1.88
591/1_7           120    27.5    0.23    1.41    21.0    1.98
591/1_5           150    29.4    0.21    1.15    24.1    2.05
591/1_3           200    33.3    0.04    0.04    31.8    2.21
591/1_1           250    34.5    0.01    0.04    36.1    2.29
591/3_24           10    23.4    0.19    0.53     7.5    1.63
591/3_15           20    23.4    0.18    0.50     7.5    1.60
591/3_13           30    23.3    0.18    0.50     7.5    1.62
591/3_11           40    23.3    0.18    0.50     7.4    1.60
591/3_9            60    23.4    0.19    0.88     7.5    1.64
591/3_7            80    23.4    0.19    0.56     7.6    1.59
591/3_5           100    24.3    0.19    1.08    12.5    1.74
591/3_4           110    25.4    0.21    1.41    17.4    1.87
591/3_3           120    26.2    0.22    1.48    20.0    1.94
591/3_2           150    28.8    0.18    0.91    25.5    2.07
591/3_1           200    31.6    0.04    0.05    31.7    2.19
591/7_24          100    23.5    0.18    0.60     8.0    1.53
591/7_23          120    24.9    0.20    1.37    15.0    1.73
591/7_22          150    26.6    0.22    1.55    21.3    1.87
591/7_17          200    31.1    0.08    0.21    29.8    2.05
591/7_14          250    33.2    0.01    0.06    36.4    2.17
591/7_9           300    35.7    0.01    0.07    48.5    2.35
591/7_5           400    37.8    0.00    0.06    61.6    2.49
591/7_1           500    37.9    0.00    0.06    70.6    2.52
591/11_23         200    31.4    0.08    0.21    30.6    2.25
591/11_20         500    37.8    0.00    0.11    70.9    2.72
591/11_18         750    36.2    0.00    0.11    79.6    2.62
591/11_15        1000    34.6    0.00    0.11    81.0    2.49
591/11_11        1500    32.6    0.00    0.12    83.7    2.35
592/1_10           20    23.7    0.19    0.60     7.6    1.68
592/1_9            30    23.7    0.19    0.65     7.6    1.68
592/1_8            40    23.7    0.19    0.58     7.6    1.65
592/1_7            60    23.6    0.19    0.57     7.6    1.62
592/1_6            80    23.6    0.19    1.34     7.5    1.60
592/1_5           100    24.1    0.19    1.28    12.3    1.70
592/1_4           120    25.6    0.21    1.44    18.0    1.86
592/1_3           140    28.0    0.21    1.13    24.0    2.01
592/1_2           160    30.3    0.11    0.44    29.8    2.15
592/1_1           200    32.1    0.02    0.10    33.2    2.24
593/3_24           10    23.4    0.19    0.66     7.8    1.69
593/3_22           20    23.4    0.19    0.65     7.8    1.67
593/3_20           30    23.4    0.19    0.65     7.8    1.67
593/3_17           40    23.4    0.18    0.67     7.8    1.66
593/3_16           60    23.4    0.18    0.70     7.8    1.65
593/3_14           80    23.4    0.19    0.71     7.9    1.66
593/3_11          100    23.5    0.19    0.82     8.5    1.66
593/3_10          100    23.6    0.19    0.89     9.3    1.68
593/3_09          110    23.9    0.19    1.06    10.6    1.72
593/3_07          120    24.6    0.20    1.31    13.7    1.79
593/3_05          150    26.9    0.23    1.49    22.1    2.00
593/3_03          200    30.7    0.09    0.38    29.4    2.15
593/3_01          250    32.5    0.02    0.15    34.3    2.24
593/6_24           10    23.6    0.19    0.66     7.5    1.66
593/6_22           40    23.6    0.19    0.65     7.5    1.67
593/6_20           60    23.4    0.19    0.62     7.5    1.66
593/6_17           80    23.6    0.19    0.63     7.5    1.67
593/6_15          120    24.4    0.20    1.12    12.1    1.80
593/6_12          200    31.2    0.09    0.28    30.0    2.24
593/6_10          300    35.7    0.01    0.15    48.8    2.56
593/6_8           400    37.9    0.01    0.20    64.1    2.74
593/6_6           500    37.9    0.00    0.14    71.8    2.74
593/6_4           700    37.1    0.01    0.17    77.9    2.69
593/6_2          1000    34.6    0.01    0.13    81.1    2.53
593/12_24          10    23.5    0.19    0.61     7.5    1.70
593/12_23          40    23.5    0.19    0.60     7.5    1.69
593/12_22          60    23.4    0.19    0.61     7.5    1.70
593/snatcher       80    23.5    0.19    0.63     7.6    1.75
593/12_21          80    23.4    0.19    0.61     7.4    1.71
593/12_20         120    24.5    0.20    1.20    13.2    1.89
593/12_17         150    28.2    0.22    1.06    24.0    2.16
593/12_15         200    32.0    0.02    0.10    31.6    2.34
593/12_12         250    33.2    0.02    0.11    35.8    2.42
593/12_11         300    34.6    0.02    0.12    42.7    2.54
593/12_9          350    36.1    0.01    0.12    51.0    2.66
593/12_8          400    37.6    0.01    0.12    61.2    2.76
593/12_6          450    37.8    0.01    0.11    64.6    2.78
593/12_5          500    37.8    0.01    0.12    69.0    2.80
593/12_3          600    37.4    0.01    0.12    73.2    2.76
593/12_2          750    36.5    0.01    0.13    77.7    2.68
593/12_1         1000    34.6    0.01    0.13    80.3    2.54
