Identificatiodepth   NO3     NO2     NH4     Si      PO4
484/1/2_17       1000    34.7    0.01    0.01    76.8    2.65
484/1/2_16       1500    31.0    0.01    0.00    73.5    2.32
484/1/2_14       2000    32.3    0.01    0.04    90.7    2.44
484/1/2_13       2500    33.0    0.01    0.03   102.0    2.53
484/1/2_4        3000    34.3    0.01    0.06   114.9    2.62
484/1/2_2        3500    34.5    0.01    0.02   120.6    2.65
484/1/2_1        3670    34.7    0.00    0.00   122.1    2.68
508/2_24           10    24.3    0.23    0.69    16.2    1.71
508/2_22           20    24.3    0.23    0.69    16.3    1.71
508/2_21           20    24.3    0.23    0.68    16.3    1.72
508/2_20           30    24.3    0.23    0.69    16.3    1.71
508/2_17 r         40    24.3    0.23    0.75    16.3    1.71
508/2_15           60    24.3    0.23    0.99    16.3    1.73
508/2_13           80    24.3    0.23    0.80    16.5    1.71
508/2_11           90    24.4    0.24    0.83    16.7    1.73
508/2_10           90    24.3    0.24    0.86    16.8    1.74
508/2_9           100    24.4    0.24    0.94    17.1    1.75
508/2_7           120    25.1    0.24    1.32    19.4    1.87
508/2_5           150    26.9    0.25    1.52    24.9    2.05
508/2_3           200    30.6    0.11    0.49    31.0    2.25
508/2_1           250    32.4    0.02    0.29    36.8    2.40
508/16_24           5    24.3    0.19    0.38    15.8    1.78
508/16_23          10    24.3    0.19    0.39    15.9    1.77
508/16_22          20    24.3    0.19    0.40    15.9    1.77
508/16_17          30    24.3    0.19    0.39    15.9    1.77
508/16_16          50    24.4    0.19    0.44    15.9    1.77
508/16_15          60    24.4    0.19    0.46    16.1    1.78
508/16_14          90    24.5    0.19    0.63    16.8    1.82
508/snatcher      100    24.4    0.19    0.46    16.1    1.78
508/16_13         120    26.1    0.20    1.34    22.6    2.07
508/16_12         150    29.0    0.17    0.86    28.2    2.30
508/16_11         200    31.8    0.03    0.04    33.4    2.48
508/16_10         250    33.7    0.02    0.04    41.7    2.67
508/16_9          300    35.5    0.02    0.04    51.4    2.87
508/16_8          350    36.6    0.02    0.04    58.2    2.96
508/16_7          400    37.3    0.01    0.03    64.9    3.05
508/16_6          450    37.5    0.01    0.03    70.0    3.06
508/16_5          500    37.4    0.01    0.03    72.7    3.06
508/16_4          500    37.4    0.01    0.03    73.0    3.07
508/16_3          600    37.2    0.01    0.03    77.3    3.04
508/16_2          800    35.9    0.01    0.04    81.3    2.92
508/16_1         1000    34.7    0.01    0.05    83.5    2.77
508/18_24         100    24.7    0.23    0.70    16.1    1.79
508/18_23         120    24.7    0.23    0.81    16.8    1.83
508/18_21         150    26.5    0.24    1.25    22.3    2.06
508/18_16         200    31.1    0.09    0.17    31.7    2.38
508/18_12         250    33.1    0.03    0.04    38.8    2.57
508/18_7          350    36.9    0.01    0.04    60.6    2.96
508/18_1          450    37.3    0.01    0.05    67.3    3.01
509/1_24           10    24.5    0.23    0.62    11.9    1.75
509/1_22           20    24.5    0.22    0.60    12.0    1.75
509/1_21           20    24.4    0.22    0.59    12.0    1.75
509/1_20           30    24.5    0.22    0.64    12.0    1.75
509/1_17           40    24.5    0.22    0.61    11.9    1.75
509/1_15           50    24.5    0.22    0.62    11.8    1.76
509/1_13           60    24.5    0.22    0.63    11.8    1.77
509/1_11           80    24.6    0.22    0.78    12.2    1.81
509/1_10           80    24.7    0.22    0.79    12.4    1.80
509/1_9           100    24.9    0.22    0.91    13.5    1.82
509/1_7           120    25.6    0.22    1.12    15.9    1.93
509/1_5           150    29.0    0.17    0.55    25.7    2.15
509/1_3           200    32.3    0.02    0.00    34.1    2.38
509/1_1           250    33.7    0.02    0.01    39.7    2.51
509/13_24          10    24.6    0.22    0.43    13.8    1.73
509/13_23          20    24.6    0.22    0.44    13.8    1.74
509/13_15          50    24.6    0.22    0.45    13.8    1.74
509/13_14          90    24.6    0.23    0.72    14.0    1.78
509/snatcher      100    24.4    0.23    0.54    13.1    1.74
509/13_13         120    25.3    0.23    1.22    16.3    1.90
509/13_12         150    26.6    0.21    1.06    19.7    2.01
509/13_11         200    30.9    0.07    0.12    30.7    2.28
509/13_10         250    32.3    0.02    0.11    35.5    2.41
509/13_9          300    34.0    0.02    0.10    42.2    2.54
509/13_8          350    35.4    0.01    0.11    49.1    2.66
509/13_7          400    36.2    0.01    0.11    54.4    2.73
509/13_6          450    36.8    0.01    0.11    60.2    2.79
509/13_5          500    37.0    0.01    0.10    64.2    2.81
509/13_4          600    37.1    0.01    0.10    70.5    2.81
509/13_3          700    36.8    0.01    0.11    75.1    2.78
509/13_2          800    36.1    0.01    0.12    77.2    2.72
509/13_1         1000    34.7    0.01    0.12    79.3    2.60
511/1_24           10    24.4    0.19    0.40    15.5    1.70
511/1_22           20    24.4    0.19    0.42    15.5    1.69
511/1_21           20    24.4    0.19    0.38    15.3    1.69
511/1_20           30    24.5    0.19    0.42    15.3    1.69
511/1_17           40    24.6    0.18    0.45    15.1    1.71
511/1_15           50    24.6    0.18    0.47    15.2    1.72
511/1_13           60    24.7    0.18    0.49    15.1    1.73
511/1_11           80    24.7    0.18    0.52    15.1    1.71
511/1_10           80    24.6    0.19    0.54    15.0    1.69
511/1_09          100    24.7    0.19    0.70    15.4    1.71
511/1_07          120    25.1    0.19    1.01    18.0    1.77
511/1_05          150    27.4    0.20    1.30    25.1    1.98
511/1_03          200    30.7    0.10    0.44    30.9    2.17
511/1_01          250    32.5    0.02    0.08    36.0    2.29
511/9_23           10    25.7    0.16    0.47    15.4    1.71
511/9_21           50    25.8    0.16    0.52    15.3    1.70
511/9_18           90    26.0    0.17    0.96    17.4    1.76
511/snatcher      100    25.7    0.16    0.47    15.3    1.67
511/9_17          120    27.7    0.18    1.53    23.7    1.96
511/9_15          150    29.8    0.16    1.15    27.9    2.09
511/9_14          200    32.4    0.07    0.24    32.3    2.22
511/9_13          250    34.5    0.02    0.11    39.2    2.35
511/9_10          300    36.6    0.02    0.12    49.4    2.55
511/9_09          350    37.8    0.01    0.18    56.5    2.61
511/9_08          400    39.1    0.01    0.12    65.4    2.73
511/9_07          450    39.4    0.01    0.11    70.6    2.78
511/9_06          500    39.3    0.01    0.12    74.2    2.79
511/9_05          600    39.1    0.01    0.12    79.1    2.78
511/9_04          700    38.6    0.01    0.13    82.2    2.73
511/9_03          800    37.7    0.01    0.11    83.4    2.67
511/9_02          900    37.1    0.00    0.12    84.9    2.61
511/9_20         1000    36.5    0.01    0.12    85.8    2.58
513/3_24           10    23.6    0.18    0.04    13.8    1.62
513/3_22           20    23.7    0.18    0.03    13.8    1.61
513/3_21           20    23.6    0.18    0.04    13.8    1.59
513/3_20           30    23.6    0.18    0.06    13.7    1.56
513/3_17           50    24.1    0.19    0.22    13.9    1.62
513/3_15           50    24.4    0.18    0.45    14.2    1.68
513/3_13           60    24.4    0.18    0.51    14.4    1.68
513/3_11           80    24.4    0.19    0.60    14.5    1.69
513/3_10           80    24.4    0.18    0.56    14.5    1.69
513/3_9           100    24.5    0.19    0.76    15.7    1.72
513/3_7           120    25.0    0.19    1.06    17.8    1.78
