Station,cast,stationcast,days after fertilization,0-100,100-200,200-300,300-400,400-500,500-1000,1000-2000,2000-3000,in(1)/out(0)/others(2/3/10)
531,1,53101,19.18680556,8.3816,3.2982,1.248,0.834,0.5999,nan,nan,nan,0
532,1,53201,19.22777778,8.7512,3.0561,1.3597,1.0053,0.632,nan,nan,nan,0
533,1,53301,19.26805556,11.0116,4.3536,1.4876,0.9625,0.5956,nan,nan,nan,2
534,1,53401,19.31458333,11.2677,3.8787,1.5157,1.1364,0.7174,nan,nan,nan,2
535,1,53501,19.37083333,10.2887,4.7028,1.5856,1.0667,0.7777,nan,nan,nan,2
536,1,53601,19.43263889,7.8113,2.6572,1.4197,1.0337,0.7099,nan,nan,nan,0
537,1,53701,19.49583333,8.9372,3.6161,1.6403,1.0613,0.8716,nan,nan,nan,2
538,1,53801,19.55138889,9.0967,3.1033,1.4201,1.0654,0.7177,nan,nan,nan,2
539,1,53901,19.60694444,9.6741,3.4547,1.5204,1.1308,0.8216,nan,nan,nan,2
540,1,54001,19.66180556,11.2794,4.0713,1.5854,1.1057,0.7288,nan,nan,nan,2
541,1,54101,19.73888889,9.9342,4.9815,1.4171,0.9796,0.6347,nan,nan,nan,2
543,8,54308,20.23125,12.3627,4.5273,1.5759,1.0461,0.7181,nan,nan,nan,1
543,10,54310,20.29652778,12.8259,6.9575,1.5125,0.9124,0.7452,nan,nan,nan,1
543,15,54315,20.4625,12.6848,3.3905,1.3481,0.9713,0.7536,nan,nan,nan,2
544,3,54403,21.67777778,15.0076,4.3393,1.312,0.9344,0.6009,nan,nan,nan,1
544,18,54418,22.43472222,12.9009,5.3487,1.3765,0.9451,0.6281,nan,nan,nan,1
544,53,54453,23.44791667,13.0335,3.7808,1.541,1.0364,0.723,nan,nan,nan,2
544,60,54460,23.78263889,11.9021,5.1033,1.5428,1.0811,0.6823,nan,nan,nan,1
544,63,54463,23.89305556,12.3647,4.6222,1.4256,1.0493,0.6661,2.1743,1.3411,0.9397,1
545,1,54501,24.27916667,14.8074,4.8888,1.4441,0.9551,0.6656,nan,nan,nan,1
546,2,54602,25.53680556,6.1031,2.599,1.2579,0.8,0.6353,nan,nan,nan,0
546,7,54607,25.69930556,4.8269,2.9055,1.2761,0.9444,0.7337,nan,nan,nan,0
546,14,54614,25.87361111,5.208,3.6261,1.3892,0.9012,0.6615,nan,nan,nan,0
546,22,54622,26.10208333,5.4985,2.5433,1.3573,1.0506,0.7311,2.1848,2.2338,1.4244,0
553,3,55303,27.81041667,12.7845,4.5182,1.4621,0.9521,0.5929,nan,nan,nan,1
553,10,55310,28.00763889,12.9397,5.9004,1.5054,0.8764,0.5758,nan,nan,nan,1
553,12,55312,28.13888889,12.0056,3.7635,1.3398,0.8032,0.5767,nan,nan,nan,1
554,1,55401,28.51875,6.718,2.4772,1.2322,0.7547,0.6736,nan,nan,nan,0
555,1,55501,28.58125,11.1064,3.7007,1.3543,0.9692,0.6496,nan,nan,nan,2
556,1,55601,28.63055556,12.9757,4.764,1.4393,0.9252,0.6852,nan,nan,nan,1
557,1,55701,28.67777778,7.6842,3.6902,1.4272,0.983,0.6772,nan,nan,nan,0
558,1,55801,28.72222222,9.5132,3.197,1.6122,1.1753,0.7756,nan,nan,nan,2
