                       UTC	     Lon	     Lat	  TdTdTd
Feb  6 2004  6:00:00:000AM	     6.1	   -46.6	     7.3	
Feb  6 2004  9:00:00:000AM	     6.0	   -46.2	     7.4	
Feb  6 2004 12:00:00:000PM	     5.6	   -46.1	     7.7	
Feb  6 2004  3:00:00:000PM	     5.3	   -46.1	     7.4	
Feb  6 2004  6:00:00:000PM	     5.0	   -46.2	     7.3	
Feb  6 2004  9:00:00:000PM	     4.5	   -46.2	     7.2	
Feb  7 2004 12:00:00:000AM	     4.1	   -46.2	     8.3	
Feb  7 2004  3:00:00:000AM	     3.7	   -46.2	    10.3	
Feb  7 2004  6:00:00:000AM	     3.2	   -46.2	    10.3	
Feb  7 2004  9:00:00:000AM	     2.9	   -46.2	     9.1	
Feb  7 2004 12:00:00:000PM	     2.6	   -46.1	     8.2	
Feb  7 2004  3:00:00:000PM	     2.3	   -46.1	     6.4	
Feb  7 2004  6:00:00:000PM	     2.0	   -46.1	     5.1	
Feb  7 2004  9:00:00:000PM	     1.8	   -46.1	     4.0	
Feb  8 2004 12:00:00:000AM	     1.7	   -46.0	     3.5	
Feb  8 2004  3:00:00:000AM	     1.5	   -46.0	     3.6	
Feb  8 2004  6:00:00:000AM	     1.3	   -45.9	     4.1	
Feb  8 2004  9:00:00:000AM	     1.1	   -45.9	     4.7	
Feb  8 2004 12:00:00:000PM	     1.3	   -46.2	     5.3	
Feb  8 2004  3:00:00:000PM	     1.6	   -46.6	     6.2	
Feb  8 2004  6:00:00:000PM	     1.9	   -47.2	     6.7	
Feb  8 2004  9:00:00:000PM	     2.1	   -47.7	     6.3	
Feb  9 2004 12:00:00:000AM	     2.1	   -48.2	     6.0	
Feb  9 2004  3:00:00:000AM	     2.1	   -48.7	     2.0	
Feb  9 2004  6:00:00:000AM	     2.1	   -49.1	     0.6	
Feb  9 2004  9:00:00:000AM	     2.1	   -49.6	    -1.5	
Feb  9 2004 12:00:00:000PM	     2.0	   -50.0	    -2.5	
Feb  9 2004  3:00:00:000PM	     2.0	   -50.5	    -2.0	
Feb  9 2004  6:00:00:000PM	     2.0	   -50.8	    -0.6	
Feb  9 2004  9:00:00:000PM	     1.7	   -50.4	    -0.6	
Feb 10 2004 12:00:00:000AM	     1.6	   -49.9	     0.1	
Feb 10 2004  3:00:00:000AM	     1.5	   -49.4	    -0.3	
Feb 10 2004  6:00:00:000AM	     2.2	   -49.4	    -0.9	
Feb 10 2004  9:00:00:000AM	     3.1	   -49.3	    -1.3	
